"","BASIN","PROG_CODE","SITE_NAME","COL_DATE","COL_TIME","Lat","Long","huc08","dt","year","Total_N"
"624","NEOSHO RIVER BASIN","SC","SC630","8/3/15",1054,38.6127,-96.46189,11070201,4295.08478009259,2015,0.465
"625","NEOSHO RIVER BASIN","SC","SC630","11/4/15",919,38.6127,-96.46189,11070201,4388.01880787037,2015,0.405
"626","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC638","3/2/15",1300,38.94317,-95.06243,10270104,4141.17228009259,2015,0.595
"627","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC638","6/1/15",1235,38.94317,-95.06243,10270104,4232.15491898148,2015,1.585
"628","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC638","9/1/15",1318,38.94317,-95.06243,10270104,4324.18478009259,2015,0.885
"629","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC638","12/1/15",1321,38.94317,-95.06243,10270104,4415.18686342593,2015,1.785
"630","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC649","4/14/15",841,39.52424,-97.21047,10250017,4183.99241898148,2015,1.075
"631","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC649","7/20/15",1746,39.52424,-97.21047,10250017,4281.3708912037,2015,9.225
"632","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC649","10/19/15",1559,39.52424,-97.21047,10250017,4372.29658564815,2015,1.415
"633","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC652","3/3/15",1245,39.17206,-96.57676,10270101,4142.16186342593,2015,0.325
"634","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC652","6/2/15",1158,39.17206,-96.57676,10270101,4233.12922453704,2015,1.065
"635","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC652","6/2/15",1203,39.17206,-96.57676,10270101,4233.13269675926,2015,1.065
"636","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC652","9/8/15",1145,39.17206,-96.57676,10270101,4331.12019675926,2015,0.605
"637","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC652","12/2/15",1202,39.17206,-96.57676,10270101,4416.13200231481,2015,0.605
"638","WALNUT RIVER BASIN","SC","SC653","2/18/15",754,37.28833,-96.97403,11030018,4128.95978009259,2015,0.355
"639","WALNUT RIVER BASIN","SC","SC653","5/12/15",746,37.28833,-96.97403,11030018,4211.95422453704,2015,1.97
"640","WALNUT RIVER BASIN","SC","SC653","8/18/15",701,37.28833,-96.97403,11030018,4309.92297453704,2015,0.975
"641","WALNUT RIVER BASIN","SC","SC653","11/24/15",807,37.28833,-96.97403,11030018,4407.96880787037,2015,0.745
"642","WALNUT RIVER BASIN","SC","SC654","2/18/15",840,37.42603,-97.00569,11030018,4128.99172453704,2015,0.555
"643","WALNUT RIVER BASIN","SC","SC654","5/12/15",839,37.42603,-97.00569,11030018,4211.99103009259,2015,1.6
"644","WALNUT RIVER BASIN","SC","SC654","8/18/15",745,37.42603,-97.00569,11030018,4309.95353009259,2015,0.935
"645","WALNUT RIVER BASIN","SC","SC654","11/24/15",853,37.42603,-97.00569,11030018,4408.00075231482,2015,1.125
"646","WALNUT RIVER BASIN","SC","SC655","2/18/15",928,37.54487,-96.99196,11030018,4129.02505787037,2015,0.475
"647","WALNUT RIVER BASIN","SC","SC655","2/18/15",933,37.54487,-96.99196,11030018,4129.02853009259,2015,0.415
"648","WALNUT RIVER BASIN","SC","SC655","5/12/15",937,37.54487,-96.99196,11030018,4212.03130787037,2015,1.238
"649","WALNUT RIVER BASIN","SC","SC655","8/18/15",838,37.54487,-96.99196,11030018,4309.99033564815,2015,0.855
"650","WALNUT RIVER BASIN","SC","SC655","11/24/15",928,37.54487,-96.99196,11030018,4408.02505787037,2015,0.735
"651","LOWER ARKANSAS RIVER BASIN","SC","SC656","2/9/15",1143,38.31456,-98.20173,11030011,4120.11880787037,2015,1.025
"652","LOWER ARKANSAS RIVER BASIN","SC","SC656","5/4/15",1202,38.31456,-98.20173,11030011,4204.13200231481,2015,2.5
"653","LOWER ARKANSAS RIVER BASIN","SC","SC656","8/10/15",1203,38.31456,-98.20173,11030011,4302.13269675926,2015,3.425
"654","LOWER ARKANSAS RIVER BASIN","SC","SC656","11/2/15",1224,38.31456,-98.20173,11030011,4386.14728009259,2015,10.15
"655","LOWER ARKANSAS RIVER BASIN","SC","SC657","2/9/15",1154,38.30674,-98.20179,11030011,4120.12644675926,2015,0.685
"656","LOWER ARKANSAS RIVER BASIN","SC","SC657","5/4/15",1213,38.30674,-98.20179,11030011,4204.1396412037,2015,2.51
"657","LOWER ARKANSAS RIVER BASIN","SC","SC657","8/10/15",1214,38.30674,-98.20179,11030011,4302.14033564815,2015,4.067
"658","LOWER ARKANSAS RIVER BASIN","SC","SC657","11/2/15",1237,38.30674,-98.20179,11030011,4386.15630787037,2015,0.745
"659","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC678","3/2/15",1438,38.91351,-95.29366,10270104,4141.24033564815,2015,0.445
