Scat,Site,Season,Year,Pack,Lat,Long,Bird,Carnivore,Domestic_cattle,Insect,Leporid,Other,Plant_matter,Reptile,Seeds_berries,Sciurid,Small_mammal,Trash,Ungulate,Ungulate_spp,Ungulate_age
703,MV,Winter,2019,Out,48.67253,-120.452,2,0,0,0,76,0,5,8,0,0,9,0,0,NONE,NONE
705,MV,Winter,2019,Out,48.60205,-120.174,0,0,55,0,0,0,18,0,0,0,10,0,17,Deer,A
706,MV,Winter,2019,Out,48.67253,-120.452,0,0,0,0,25,0,10,0,0,0,10,0,55,Deer,A
707,MV,Winter,2019,Out,48.61408,-120.214,0,0,0,0,0,0,0,0,0,0,0,0,100,Deer,A
708,MV,Winter,2019,Out,48.47741,-120.184,0,0,80,0,0,0,12,0,0,0,8,0,0,NONE,NONE
709,MV,Winter,2019,Out,48.41614,-119.857,0,0,0,0,2,0,0,0,0,0,12,0,86,Deer,A
710,MV,Winter,2019,Out,48.43318,-119.884,0,0,0,0,0,0,30,0,0,0,70,0,0,NONE,NONE
711,MV,Winter,2019,Out,48.61895,-120.212,0,0,0,0,0,0,0,0,0,0,0,0,100,Deer,A
715,MV,Winter,2019,Out,48.5886,-120.103,0,0,0,0,0,0,70,0,0,0,0,0,30,Deer,A
717,MV,Winter,2019,Out,48.58812,-120.194,0,0,0,0,0,0,13,0,0,0,12,0,75,Deer,A
720,MV,Winter,2019,Out,48.57391,-120.175,0,0,35,0,0,0,30,0,0,0,35,0,0,NONE,NONE
722,MV,Winter,2019,Out,48.56848,-120.173,0,0,49,0,0,0,35,0,5,0,0,0,11,Deer,A
723,MV,Winter,2019,Out,48.60275,-120.171,0,0,91,0,0,0,4,0,0,0,0,0,5,Deer,A
724,MV,Winter,2019,Out,48.57453,-120.202,0,0,1,0,0,0,33,0,20,0,12,0,34,Deer,A
726,MV,Winter,2019,Out,48.59596,-120.092,0,0,10,0,0,0,4,0,80,0,0,0,6,Deer,A
727,MV,Winter,2019,Out,48.57084,-120.204,0,0,5,0,0,0,0,0,80,0,0,0,15,Deer,A
728,MV,Winter,2019,Out,48.57059,-120.205,0,0,5,0,0,0,2,0,90,0,0,0,3,Deer,A
729,MV,Winter,2019,Out,48.57126,-120.206,0,0,0,0,0,0,0,0,75,0,0,0,25,Deer,A
730,MV,Winter,2019,Out,48.57357,-120.207,0,0,1,0,0,0,0,0,93,0,0,0,6,Deer,A
734,MV,Winter,2019,Out,48.57983,-120.204,0,0,98,0,0,0,2,0,0,0,0,0,0,NONE,NONE
736,MV,Winter,2019,In,48.4531,-120.075,0,0,0,0,0,0,6,0,0,0,60,0,34,Deer,A
737,MV,Winter,2019,Out,48.40626,-119.862,0,5,0,0,0,0,35,0,0,0,60,0,0,NONE,NONE
738,MV,Winter,2019,Out,48.61977,-120.075,0,0,0,0,0,0,44,0,2,0,8,0,46,Deer,A
742,MV,Winter,2019,Out,48.61247,-120.07,0,0,0,0,98,0,2,0,0,0,0,0,0,NONE,NONE
747,MV,Winter,2019,Out,48.61101,-120.013,0,0,0,0,0,0,52,0,0,0,6,0,42,Deer,A
749,MV,Winter,2019,Out,48.63187,-119.978,0,99,0,0,0,0,1,0,0,0,0,0,0,NONE,NONE
751,MV,Winter,2019,Out,48.62925,-119.978,0,0,0,0,99,0,1,0,0,0,0,0,0,NONE,NONE
